language,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE
Albanian,0.0010224948875255625,0,0,0,0.0046022353714661405,0.0010141987829614604,0,0.008048289738430584,0,0,0,9.784735812133072e-4,0,0,0,0.003992015968063872,0,0,0,0.0021436227224008574,0,0,0,0.006006006006006006,0,0,0
Arabic,0.011247443762781187,0,0,0.0040858018386108275,0.011176857330703484,0,0.0010351966873706005,0.001006036217303823,0.007042253521126761,0.017543859649122806,0,0.0019569471624266144,0,0.00101010101010101,0,0.003992015968063872,0,0.00196078431372549,0.004911591355599214,0.0010718113612004287,0,0,0,0,0,0.001,0.00658513640639699
Basque,0,0,0,0,0,0,0,0,0.004024144869215292,0.0010319917440660474,0,9.784735812133072e-4,0,0,0,0.001996007984031936,0,0,0,0,0.0020242914979757085,9.861932938856016e-4,0,0,0,0,0
Bulgarian,0.002044989775051125,0.8593598448108632,0.0010162601626016261,0,0.003287310979618672,0,0.002070393374741201,0.002012072434607646,0.002012072434607646,0,0.0020060180541624875,0.003913894324853229,0.004024144869215292,0,0,0,0,0.00196078431372549,9.823182711198428e-4,0.004287245444801715,0,9.861932938856016e-4,0,0,0,0,9.407337723424271e-4
Catalan,0,0,0,0,0,0,0,0,0.07142857142857142,0.0030959752321981426,0,0,0,0.00101010101010101,0,0,0,0,0,0,0,9.861932938856016e-4,0,0,0,0,0
Chinese,0.0010224948875255625,0,0.0040650406504065045,0.0020429009193054137,6.574621959237344e-4,0,0.002070393374741201,0,0,0,0,0.0019569471624266144,0,0,0,0.001996007984031936,0,0,0,0.0010718113612004287,0,0,0,0,0,0,0
Croatian,0,0,0.0010162601626016261,0,0.0039447731755424065,0,0.005175983436853002,0,0,0,0.921765295887663,0,0,0,0,0,9.9601593625498e-4,0,0,0.0053590568060021436,0,0,0,0.01001001001001001,0,0,0
Czech,0,0,0.9563008130081301,0.0010214504596527069,6.574621959237344e-4,0,0,0,0,0.0010319917440660474,0.0020060180541624875,0.0029354207436399216,0,0,0,0,0,0,0,0.006430868167202572,0,0,0,0,0.010050251256281407,0,0
Danish,0,0,0,0.9438202247191011,0.0019723865877712033,0,0,0,0,0,0.004012036108324975,0,0,0,0,0.003992015968063872,0,0,0,0.0010718113612004287,0,0,0,0,0,0,9.407337723424271e-4
Dutch,0.5132924335378323,0,0,0.005107252298263534,0.0039447731755424065,0,0.0010351966873706005,0,0.002012072434607646,0,0,0,0,0,0,0.00998003992015968,0,0,0.9479371316306483,0.0010718113612004287,0,9.861932938856016e-4,0,0,0,0,0
